Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (INR),SERP Features
musical logo,Informational,18100,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,1.00,0.82,0.82,0.67,0.67",47,9.11,"Image, Image pack, Related searches"
logo video,Commercial,3600,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.81",44,0.91,"Image, Image pack, Video, Video carousel, Related searches, Ads top, Ads bottom"
mogo,Informational,3600,"0.13,0.13,0.16,0.16,0.16,0.16,0.16,0.20,0.16,0.16,0.16,1.00",57,0.00,"AI Overview, Image, Image pack, Knowledge panel, Related searches"
music for instagram,,1600,"0.68,0.84,0.68,0.84,0.68,0.84,0.84,0.84,1.00,1.00,1.00,1.00",,58.29,
sonic logo,"Informational, Transactional",720,"0.67,0.82,0.67,1.00,0.82,0.82,0.82,0.82,0.67,0.67,0.67,0.67",29,0.00,"Image, Image pack, Video carousel, Related searches"
music for presentations,,320,"1.00,1.00,0.82,0.82,0.67,0.82,1.00,1.00,0.67,0.82,0.67,0.67",,4.55,
royalty free music India,,260,"0.81,0.81,0.81,0.66,0.66,0.66,0.53,0.66,1.00,1.00,0.81,0.66",,29.14,
sonic branding,Informational,260,"0.82,1.00,0.82,0.82,0.67,0.54,0.67,0.67,0.67,0.67,0.67,0.67",26,369.77,"Sitelinks, AI Overview, Image pack, Video carousel, Related searches"
brand music,,210,"1.00,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81",,0.00,
find music for video,,210,"1.00,1.00,0.81,1.00,0.65,0.81,0.65,0.65,0.65,0.65,0.54,0.65",,0.00,
music for podcast,,210,"0.44,0.82,0.82,1.00,0.44,0.44,0.44,0.54,0.54,0.36,0.44,0.54",,0.00,
music by mood,,170,"0.81,0.81,0.52,0.67,0.81,0.81,0.67,0.81,0.81,0.81,0.81,1.00",,0.00,
music for apps,,170,"0.81,0.67,0.81,1.00,1.00,0.81,0.67,0.81,1.00,1.00,1.00,0.81",,2.73,
dramatic music for video,,30,"0.14,0.14,0.14,0.71,0.14,0.57,0.57,0.00,1.00,0.14,1.00,0.00",,0.00,
jingle maker online,,30,"0.11,0.22,0.11,0.11,0.44,0.11,0.11,0.33,0.11,0.56,1.00,0.11",,8.20,
audio logo examples,,20,"0.78,0.11,1.00,0.11,0.11,0.11,0.33,0.11,0.11,0.22,0.11,0.11",,0.00,
brand audio,,20,"0.11,0.33,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.78,0.11,0.11",,0.00,
music for corporate video,,20,"0.20,0.20,0.80,0.40,0.20,0.60,0.20,0.60,0.20,1.00,0.20,1.00",,10.93,
music for marketing,,20,"0.14,0.14,0.14,0.29,0.71,0.14,0.14,0.14,0.14,0.14,0.43,1.00",,21.86,
music for website,,20,"0.56,0.11,0.11,0.11,0.11,0.11,0.11,0.33,0.11,0.11,1.00,0.11",,0.00,
audio asset management,,10,"0.11,0.11,0.00,0.11,0.11,0.00,0.00,1.00,0.00,0.11,0.00,0.00",,0.00,
audio logo maker,,10,"0.33,0.00,0.33,1.00,0.33,0.33,1.00,0.33,0.67,0.33,0.33,0.33",,0.00,
calm background music for video,,10,"0.33,0.67,0.33,0.33,0.67,0.67,0.33,0.33,1.00,0.33,0.33,0.33",,0.00,
custom jingle,,10,"0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.80,1.00,0.20,0.00,0.60",,0.00,
happy background music royalty free,,10,"0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.67,0.67,0.33",,0.00,
music for TikTok,,10,"0.33,0.00,0.00,0.00,1.00,0.33,0.00,0.00,0.00,0.00,0.33,0.33",,0.00,
music for tiktok,,10,"0.33,0.00,0.00,0.00,1.00,0.33,0.00,0.00,0.00,0.00,0.33,0.33",,0.00,
what is a sonic logo,,10,"0.00,0.00,0.00,0.40,0.20,0.20,0.20,0.40,0.00,0.20,0.60,1.00",,0.00,
create sonic logo,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
sonic branding cost,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
