Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (INR),SERP Features
background music,"Informational, Transactional",33100,"1.00,1.00,0.82,1.00,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00",63,9.11,"Image, Image pack, Video, Video carousel, Related searches"
copyright free music,Commercial,27100,"0.82,1.00,0.82,1.00,0.82,0.82,1.00,1.00,1.00,1.00,1.00,0.82",81,10.93,"Video, Video carousel, Related searches, Ads top, Ads bottom"
no copyright music,Informational,22200,"1.00,1.00,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00,1.00,1.00",69,6.38,"Image, Video, Video carousel, Related searches"
AI music generator,Commercial,18100,"0.55,0.67,1.00,1.00,0.67,0.82,0.82,0.82,0.82,0.82,0.82,1.00",76,4.55,"Video, Related searches, Ads bottom"
copyright free music for YouTube,,14800,"0.82,0.82,0.82,0.67,0.67,0.82,0.82,1.00,0.82,1.00,0.82,1.00",,5.46,
royalty free music,Informational,14800,"1.00,1.00,0.82,1.00,0.82,0.82,0.82,1.00,1.00,1.00,1.00,1.00",77,18.22,"Video, Related searches, See results about"
background music for videos,Informational,2900,"1.00,1.00,1.00,1.00,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81",67,6.38,"Image, Video, Video carousel, Short videos, Related searches, Ads bottom"
royalty free background music,Informational,2400,"0.66,0.83,0.66,0.83,0.66,0.83,0.83,0.83,0.83,0.83,1.00,0.83",82,8.20,"Image, Video, Related searches"
royalty free music for YouTube,,2400,"0.66,0.83,0.66,0.66,0.66,0.66,0.83,0.83,0.66,0.83,0.83,1.00",,18.22,
AI song maker,Commercial,1900,"0.44,0.44,0.36,0.36,0.36,0.36,0.53,0.44,0.53,0.53,0.67,1.00",75,2.73,"Video, Related searches"
production music,,1900,"0.79,1.00,0.79,0.79,0.79,0.79,0.67,0.79,0.79,0.79,0.79,0.67",,22.77,
AI music creator,Commercial,1600,"0.00,0.00,0.00,0.00,0.01,1.00,0.29,0.16,0.24,0.13,0.10,0.09",74,7.29,"Image, Video, Video carousel, Related searches, Ads top, Ads middle"
music for games,,1300,"0.13,0.13,0.15,0.13,0.15,0.13,0.15,0.13,0.15,0.13,0.13,1.00",,32.79,
stock music,Informational,1300,"1.00,0.77,0.77,1.00,0.77,1.00,0.77,1.00,1.00,1.00,0.77,1.00",77,35.52,"Video, Related searches, See results about"
audio logo,Informational,1000,"0.77,1.00,0.77,0.77,0.68,0.68,0.68,0.77,1.00,0.77,0.68,0.68",28,0.00,"Image, Image pack, Video, Related searches"
creator music,,1000,"0.20,0.20,0.24,0.24,0.24,0.20,0.20,0.24,0.24,0.24,0.28,1.00",,10.93,
cinematic background music,Informational,880,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",30,8.20,"Image, Video, Video carousel, Related searches"
music for YouTube videos,Commercial,720,"1.00,1.00,0.88,0.88,0.88,0.72,0.72,0.72,0.59,0.59,0.59,0.59",77,22.77,"Video, Related searches, Ads top, Ads bottom"
music for videos,Commercial,720,"0.55,0.55,0.55,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,1.00",89,10.93,"Image, Video, Video carousel, Related searches, Ads top, Ads bottom"
