Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (INR),SERP Features
notification sounds,Informational,27100,"1.00,1.00,0.82,1.00,0.82,1.00,1.00,1.00,0.82,0.82,1.00,1.00",37,38.25,"Video, Related searches"
musical logo,Informational,18100,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,1.00,0.82,0.82,0.67,0.67",47,9.11,"Image, Image pack, Related searches"
app sounds,,8100,"0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.04,1.00",,0.91,
TV music,,1900,"0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.02,1.00",,0.91,
sound logo,Informational,1900,"0.79,1.00,1.00,1.00,0.79,0.67,0.67,0.79,1.00,1.00,0.79,0.79",30,11.84,"Image, Image pack, Video, People also ask, Related searches"
soundscapes,,1600,"1.00,1.00,0.84,0.84,0.68,0.68,0.68,0.84,0.68,0.68,0.84,0.53",,78.33,
ambient sound,Informational,1000,"0.68,0.68,0.68,0.68,0.77,0.77,0.68,0.77,0.77,0.77,1.00,1.00",63,47.36,"AI Overview, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches, Ads middle"
news music,,1000,"0.77,0.77,1.00,0.77,0.77,0.77,0.68,0.68,0.68,0.68,0.68,1.00",,1.82,
sound design,Informational,1000,"0.77,1.00,0.77,1.00,0.77,0.77,0.77,1.00,1.00,0.77,0.77,0.77",38,67.40,"Sitelinks, AI Overview, Image, Video, Video carousel, Local pack, Related searches"
experience design,Informational,590,"0.82,1.00,0.67,0.82,0.82,0.67,0.67,0.82,0.67,0.55,0.55,0.67",41,80.15,"AI Overview, Image, Video, Knowledge panel, Related searches"
sensory marketing,Informational,480,"0.67,0.67,0.82,1.00,1.00,0.44,0.44,0.54,0.44,0.54,0.54,0.54",43,0.00,"Featured snippet, Video, People also ask, Knowledge panel, Related searches"
brand voice,Informational,390,"1.00,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81,0.81,0.67,0.81",43,53.74,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
voice branding,,390,"1.00,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81,0.81,0.67,0.81",,53.74,
mixing and mastering,Informational,260,"1.00,1.00,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81",30,20.95,"Sitelinks, AI Overview, Image, Video, Related searches"
sync licensing,Informational,170,"0.54,0.65,0.54,0.54,0.54,0.54,0.54,0.81,0.81,1.00,0.81,0.81",23,34.61,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches"
immersive audio,Informational,140,"0.67,0.67,0.52,0.67,1.00,0.67,0.81,0.81,0.81,0.67,0.81,0.52",17,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches"
signature sound,Informational,110,"0.79,1.00,0.79,0.64,0.79,0.79,0.79,1.00,1.00,1.00,1.00,1.00",40,0.00,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
sonic system,Informational,110,"0.50,0.64,0.79,0.64,0.64,0.79,0.64,1.00,1.00,0.79,1.00,0.79",56,0.00,"AI Overview, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
custom music,,50,"0.04,0.27,0.04,0.04,0.04,0.27,0.04,0.15,0.04,0.12,0.04,1.00",,13.66,
voice identity,,40,"0.53,0.29,0.18,0.06,0.06,0.06,0.41,1.00,0.06,0.06,0.06,0.29",,0.00,
brand anthem,,30,"0.57,0.14,1.00,0.14,0.43,0.71,0.29,0.14,0.29,0.43,0.14,0.14",,0.00,
campaign music,,30,"0.29,0.14,0.14,0.29,0.00,0.29,1.00,1.00,0.14,0.14,0.14,0.71",,0.00,
haptic design,,30,"0.11,0.33,0.11,0.78,0.11,0.11,0.22,1.00,0.11,0.78,0.11,0.11",,0.00,
voice casting,,30,"0.07,0.07,0.14,0.21,0.07,0.07,0.07,0.07,0.21,0.64,0.07,1.00",,0.00,
UI sounds,,20,"0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.56,0.11,0.11,0.22",,0.00,
audio post production,,20,"0.14,0.29,1.00,0.14,0.14,0.14,1.00,0.14,0.14,0.29,0.14,0.14",,0.00,
curated playlists,,20,"1.00,0.20,0.20,0.20,0.20,0.80,0.40,0.20,0.80,0.80,0.20,0.20",,0.00,
music branding agency,,20,"0.11,0.11,0.33,0.11,0.11,0.22,0.11,0.11,0.11,1.00,0.00,0.33",,0.00,
music consultancy,,20,"0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.80,0.20,0.20,1.00,0.20",,0.00,
music strategy,,20,"0.67,0.33,0.33,0.67,1.00,0.33,0.67,0.33,0.33,0.33,0.67,0.33",,0.00,
music supervision,,20,"0.11,0.11,0.11,0.11,0.11,1.00,0.44,0.33,0.22,0.22,0.11,0.11",,0.00,
sonic experience,,20,"0.11,1.00,0.11,0.11,0.33,0.11,0.11,0.11,0.33,0.11,0.22,0.11",,0.00,
sound identity,,20,"0.25,0.25,0.25,1.00,0.75,0.50,0.25,0.25,0.75,0.25,0.25,0.25",,0.00,
sound in marketing,,20,"0.20,0.20,1.00,0.40,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.60",,0.00,
audio strategy,,10,"0.00,0.14,0.00,0.14,0.14,0.00,1.00,0.14,0.00,0.00,0.00,0.14",,0.00,
campaign soundtrack,,10,"0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",,0.00,
custom music production,,10,"0.00,0.00,0.25,1.00,0.00,0.00,0.25,0.25,0.75,0.00,0.25,0.00",,0.00,
sonic mnemonic,,10,"0.20,1.00,0.20,0.00,0.00,0.00,0.20,0.20,0.00,0.60,0.00,0.00",,0.00,
sonic signature,,10,"0.33,0.33,0.33,1.00,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.67",,0.00,
interaction sounds,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
