Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
AI music generator,Commercial,49500,"0.66,0.54,0.36,0.54,0.66,0.54,0.81,0.54,0.66,1.00,0.81,1.00",76,0.9,"Sitelinks, Video, Related searches, Ads bottom"
royalty free music,Commercial,40500,"1.00,0.55,0.67,0.67,0.67,0.55,0.55,0.67,0.67,0.67,0.82,0.55",79,1.8,"Image, Video, Related searches, See results about, Ads bottom"
AI song maker,Commercial,14800,"0.36,0.54,0.44,0.54,0.66,0.54,0.66,0.54,0.66,1.00,0.81,1.00",76,0.56,"Sitelinks, Video, Related searches"
copyright free music,Informational,12100,"1.00,0.83,1.00,1.00,0.83,0.67,0.83,0.67,0.83,0.67,0.83,0.67",88,1.1,"Sitelinks, AI Overview, Image, Video, Knowledge panel, Related searches"
background music,"Informational, Transactional",9900,"0.69,0.83,0.83,1.00,1.00,1.00,0.83,0.69,0.83,1.00,1.00,0.83",59,0.54,"Image, Video, Video carousel, Short videos, Related searches, Ads bottom"
sonic logo,Informational,9900,"1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.67,1.00,1.00,0.81,0.81",37,2.52,"Image, Image pack, Video, Video carousel, Related searches"
free AI music generator,Informational,6600,"0.36,0.44,0.36,0.54,0.54,0.54,0.44,0.66,0.66,1.00,1.00,0.81",79,0.64,"Sitelinks, AI Overview, Video, Related searches"
royalty free music for YouTube,Informational,5400,"0.44,0.44,0.66,0.54,0.81,0.81,0.66,0.44,1.00,0.44,0.44,0.81",84,1.77,"Sitelinks, AI Overview, Image, Video, Related searches"
royalty free music for videos,Commercial,3600,"0.16,0.19,0.29,0.23,0.35,0.35,0.44,0.44,1.00,0.81,0.66,0.29",80,2.49,"Sitelinks, Image, Video, Video carousel, Related searches"
stock music,Commercial,3600,"0.52,0.66,0.66,0.66,0.66,0.52,1.00,0.66,0.66,0.82,0.82,0.66",70,3.91,"Sitelinks, Video, Video carousel, Related searches"
music licensing,Informational,2900,"1.00,0.65,0.81,0.65,0.65,0.54,0.81,0.54,0.54,0.65,0.54,0.43",54,3.82,"AI Overview, Video, Video carousel, Short videos, Related searches"
no copyright music,Commercial,2900,"1.00,0.88,1.00,0.88,0.88,0.88,0.88,0.88,0.63,0.88,0.88,0.63",72,0.87,"Image, Video, Video carousel, Related searches"
royalty free background music,Commercial,2400,"0.36,0.36,0.43,0.54,0.65,0.65,1.00,0.54,0.54,1.00,0.29,0.36",81,1.38,"Sitelinks, Video, Related searches"
hold music,Informational,2400,"1.00,0.83,1.00,0.83,1.00,0.66,1.00,1.00,0.66,0.66,0.66,0.83",28,3.01,"Sitelinks, Video, Video carousel, Short videos, Related searches"
copyright free music for YouTube,Informational,1900,"1.00,0.66,0.80,0.52,0.52,0.52,0.52,0.52,0.44,0.52,0.44,0.27",77,1.41,"Sitelinks, Image, Video, Video carousel, Related searches, Ads bottom"
music for YouTube videos,Informational,1900,"0.65,1.00,0.36,0.29,0.29,0.29,0.81,0.36,0.36,0.36,0.36,0.29",36,3.58,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
AI music creator,Commercial,1900,"0.80,1.00,1.00,1.00,0.80,0.80,0.70,1.00,0.70,1.00,1.00,1.00",77,1.2,"Video, Video carousel, Related searches"
music for videos,Commercial,1300,"0.55,0.30,0.34,0.34,0.34,0.30,1.00,0.44,0.34,0.34,0.44,0.24",62,5.68,"Sitelinks, Image, Video, Video carousel, Related searches"
podcast intro music,Informational,1300,"0.68,0.52,0.84,1.00,0.84,0.46,0.46,0.46,0.68,0.84,0.68,0.84",28,1.62,"Sitelinks, Video, Video carousel, People also ask, Related searches, See results about"
royalty free music for podcasts,Commercial,1300,"0.36,0.36,0.36,0.41,0.54,0.66,0.66,1.00,0.41,0.54,0.54,0.41",58,2.6,"Sitelinks, Video, Knowledge panel, Related searches"
audio logo,Informational,1000,"0.24,0.20,0.24,0.20,0.20,1.00,0.13,0.20,0.24,0.20,0.16,0.10",19,2.84,"AI Overview, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches"
commercial music,Informational,1000,"1.00,0.77,1.00,1.00,1.00,0.77,0.77,0.77,0.56,1.00,1.00,0.77",33,3.72,"AI Overview, Video, Video carousel, People also ask, Related searches, See results about, Ads bottom"
production music,Informational,1000,"0.63,0.44,0.63,1.00,0.75,0.75,0.75,0.63,0.63,0.63,0.63,0.63",79,3.28,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Local pack, Related searches, See results about"
background music for videos,"Informational, Transactional",880,"0.77,0.55,0.68,0.45,0.77,0.77,1.00,0.45,0.55,0.45,0.36,0.25",53,1.57,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Ads bottom"
production music library,Commercial,880,"0.11,0.16,0.13,0.13,0.13,0.34,0.24,0.44,1.00,0.65,0.20,0.13",78,2.57,"Sitelinks, Video, Related searches"
sonic branding,Informational,720,"1.00,0.70,0.80,0.80,0.50,0.80,0.70,0.70,0.70,0.80,0.80,0.70",32,3.48,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches, Ads bottom"
royalty free podcast music,Commercial,720,"0.55,0.67,0.55,0.55,1.00,0.36,0.55,0.45,0.76,0.67,0.55,0.67",41,1.98,"Sitelinks, Video, Related searches"
audio branding,Informational,590,"0.54,0.54,0.81,0.81,1.00,0.81,1.00,0.81,0.54,0.81,0.67,0.67",40,2.1,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
make music with AI,Informational,590,"0.72,0.48,0.59,0.48,0.72,0.59,0.48,0.39,0.59,0.59,0.59,1.00",86,1.37,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom"
AI jingle generator,Informational,480,"0.81,0.81,0.81,1.00,1.00,0.66,0.66,0.66,1.00,1.00,0.66,0.44",29,1.31,"Sitelinks, Image, Video, Short videos, People also ask, Related searches"
music licensing for business,Informational,480,"0.07,0.05,0.08,0.08,0.10,0.10,1.00,0.20,0.16,0.16,0.10,0.13",27,6.04,"AI Overview, Video, Video carousel, Discussions and forums, Related searches"
upbeat background music,"Informational, Transactional",480,"0.66,0.81,0.81,0.81,1.00,0.66,0.54,0.81,0.66,0.66,0.54,0.66",42,1.28,"Sitelinks, Image, Video, Featured video, Video carousel, Knowledge panel, Discussions and forums, Related searches"
free podcast intro music,Commercial,480,"0.36,0.44,0.81,1.00,0.81,0.66,0.54,0.66,0.66,0.44,0.44,0.54",18,1.49,"Sitelinks, Video, Video carousel, Related searches"
podcast background music,Informational,390,"0.36,0.36,0.54,0.67,1.00,0.29,0.23,0.23,0.36,0.54,0.44,0.54",12,1.45,"Sitelinks, Video, Video carousel, Related searches"
creator music,Informational,390,"0.83,0.56,0.67,0.56,0.44,0.56,0.56,0.56,0.67,1.00,0.67,0.83",39,3.28,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches"
sound identity,Informational,390,"0.01,0.01,0.01,0.31,0.68,0.13,0.03,0.11,1.00,0.01,0.02,0.01",2,0,"AI Overview, Video, Video carousel, People also ask, Related searches"
music for commercial use,Informational,320,"0.66,0.35,0.54,0.66,0.81,0.44,1.00,0.81,0.54,0.54,0.15,0.44",34,5.29,"Sitelinks, AI Overview, Image, Video, Related searches"
jingle maker,Informational,320,"0.67,0.82,0.82,1.00,1.00,0.55,0.29,0.35,0.55,0.67,0.55,0.44",13,1.32,"Video, Video carousel, Related searches"
music discovery platform,Informational,320,"0.04,0.04,0.04,0.00,0.00,0.00,0.04,0.04,0.41,1.00,0.01,0.00",88,0,"Sitelinks, Video, Discussions and forums, Related searches"
podcast music free,Informational,320,"1.00,0.20,1.00,0.67,0.53,0.80,0.67,0.43,0.33,1.00,0.53,0.43",41,1.56,"Sitelinks, AI Overview, Video, Related searches, See results about"
AI jingle maker,Informational,210,"0.35,0.43,0.43,0.53,0.66,0.43,0.43,0.66,1.00,0.82,0.66,0.82",19,1.09,"Sitelinks, Video, Video carousel, Related searches"
advertising music,Informational,210,"0.18,0.67,0.35,0.14,0.18,0.55,0.55,0.55,1.00,0.29,0.35,0.23",19,3.18,"Image, Video, Video carousel, People also ask, Related searches, See results about"
artlist vs epidemic sound,"Informational, Commercial",210,"1.00,0.80,0.65,0.80,0.80,0.65,0.52,0.65,0.21,0.65,0.65,0.65",37,4.17,"Sitelinks, AI Overview, Video, Related searches"
audio marketing,Informational,210,"0.52,0.43,0.65,0.52,0.65,0.65,0.81,1.00,0.81,0.33,1.00,0.81",15,7.48,"AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
jingle generator,Commercial,210,"0.81,1.00,0.81,1.00,1.00,0.27,0.22,0.27,0.53,0.43,0.36,0.27",16,0.79,"Sitelinks, Video, Video carousel, Related searches, Ads bottom"
music supervision,Informational,210,"0.36,0.23,0.81,0.00,0.06,0.06,0.36,0.15,1.00,0.44,0.81,0.28",24,2.44,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, Top stories, Related searches"
retail background music,Transactional,210,"0.08,0.08,0.08,0.06,0.08,0.05,1.00,0.06,0.08,0.03,0.03,0.03",27,2.72,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
stock music library,Commercial,210,"1.00,0.35,0.53,0.53,0.67,0.35,0.53,0.67,0.82,0.53,0.42,0.42",61,3.71,"Sitelinks, Video, Related searches"
